countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Democratic Republic of Congo,31264819,32265203,33298910,34382755,35486865,36684066,37925828,39228908,40656338,42626874,44433718,45296126,46029908,47297596,48912973,50507444,52132648,53750528,55343873,56997741,58775726,60615907,62477753,64390658,66412040,68563037,70849311,73254623,75789395,78403248,81035535,83956415,87083400,90047647,92947450,95989999,99148931
Denmark,5113878,5120691,5127135,5129650,5132717,5141025,5154346,5171371,5188639,5206190,5233363,5263072,5285041,5304264,5321814,5339660,5358825,5375966,5390622,5404594,5419551,5437421,5461604,5493766,5523168,5547866,5570846,5591912,5615334,5643793,5683698,5728198,5765168,5793825,5814619,5831530,5856773
Djibouti,402690,426344,454407,484530,523362,579544,631098,626017,614247,626717,633075,648355,671826,699355,724228,747326,771313,795577,813528,826132,839173,855767,874531,892739,911523,930251,948566,966753,984832,1002720,1020315,1037660,1054842,1071886,1088708,1105194,1121251
Dominica,71767,71426,71044,70626,70171,69644,69321,69342,69453,69494,69490,69421,69315,69144,68883,68527,68300,68386,68552,68662,68747,68823,68861,68864,68881,68872,69072,69134,69733,70385,70429,69628,68514,68193,67901,67589,67223
Dominican Republic,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,8720288,8852232,8980626,9104889,9225036,9341187,9455662,9573136,9695269,9820181,9945622,10070410,10193837,10315524,10434826,10551430,10666846,10782049,10894043,11008297,11123480
East Timor,,,,,,,,,,,,,,,,,,,916878,929081,948310,976611,1004897,1032432,1058784,1084687,1110212,1134888,1158695,1181913,1205134,1228315,1251710,1275965,1300943,1326051,1350142
Ecuador,9311151,9545999,9779290,10010804,10241859,10473674,10702378,10930127,11154282,11372196,11590519,11810954,12031128,12251188,12470799,12689214,12910737,13138473,13372303,13608699,13846163,14086139,14328783,14575202,14825961,15076695,15326231,15572194,15807130,16035126,16266228,16505141,16759517,17049542,17340017,17546058,17682454
Egypt,50734974,52206295,53674436,55187678,56710641,58396625,60029001,61480663,62915681,64285594,65652622,67028046,68431737,69943298,71520952,73083287,74652034,76239138,77853549,79477439,81101013,82700405,84276227,85864791,87501636,89196070,91093068,93161001,95333551,97528656,99597333,101644586,103696057,105682093,107553159,109315119,110957004
El Salvador,4894704,4992771,5092444,5195828,5298976,5399729,5495080,5585611,5659958,5714140,5762134,5805284,5844577,5880786,5913908,5943366,5968058,5986629,5998595,6004673,6005583,6002322,6009819,6029301,6048284,6068252,6090128,6113976,6138845,6162953,6183674,6200805,6213537,6219801,6222316,6234680,6255781
Equatorial Guinea,385551,404741,422529,439658,456821,474288,492219,510776,530029,550147,571273,593495,616898,641478,667221,703286,749835,797968,847866,899924,947369,990350,1036053,1084538,1135684,1189096,1241843,1293484,1346220,1399829,1453926,1508193,1562401,1616425,1670184,1716479,1758796
